Linux 5.15.0-131-generic (node0.parthaw-241019.hyflowtm-pg0.wisc.cloudlab.us) 	02/09/2025 	_x86_64_	(40 CPU)

08:02:15 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
09:05:15 PM 183581136 192097764   2919792      1.48    101548   9397328   3281568      1.60    679632  10273368         4
09:06:15 PM 183580168 192096844   2920512      1.48    101596   9397328   3281568      1.60    679680  10273368        28
09:07:15 PM 183583840 192100556   2916656      1.48    101628   9397336   3281568      1.60    679712  10273348         4
09:08:15 PM 183582384 192099136   2918196      1.48    101668   9397340   3281568      1.60    679744  10273376        24
09:09:15 PM 183580676 192097480   2919896      1.48    101708   9397344   3281568      1.60    679796  10273752         4
09:10:15 PM 183580452 192097304   2919912      1.48    101748   9397352   3281568      1.60    679832  10273392         4
09:11:15 PM 183580000 192096888   2920360      1.48    101780   9397356   3281568      1.60    679864  10273392       148
09:12:15 PM 183580404 192097332   2919896      1.48    101820   9397356   3285940      1.60    679908  10275612         4
09:13:15 PM 183580520 192097504   2919856      1.48    101876   9397356   3281568      1.60    679960  10273368       140
09:14:15 PM 183579112 192096152   2921408      1.49    101924   9397364   3285960      1.60    680020  10275284       188
09:15:15 PM 183577648 192094732   2922984      1.49    101972   9397368   3281568      1.60    680064  10273392        24
09:16:15 PM 183577052 192094192   2923280      1.49    102020   9397368   3281568      1.60    680120  10273368       136
09:17:15 PM 183575592 192092780   2924584      1.49    102060   9397380   3285752      1.60    680164  10275344       144
09:18:15 PM 183576724 192093948   2923448      1.49    102092   9397380   3285752      1.60    680196  10275364       136
09:19:15 PM 183575552 192092816   2924288      1.49    102140   9397380   3289928      1.60    680240  10276808       160
09:20:15 PM 183577820 192095132   2922424      1.49    102172   9397388   3281568      1.60    680272  10273408         4
09:21:15 PM 183575720 192093092   2924412      1.49    102228   9397392   3281720      1.60    680376  10273812       140
09:22:15 PM 183575212 192092636   2924636      1.49    102276   9397396   3281720      1.60    680424  10273860       148
09:23:15 PM 183575868 192093348   2923664      1.49    102324   9397404   3281720      1.60    680472  10273872       136
09:24:15 PM 183574940 192092472   2924524      1.49    102372   9397408   3283812      1.60    680528  10275932       172
09:25:15 PM 183574520 192092084   2924864      1.49    102412   9397408   3283972      1.60    680556  10275788        24
09:26:15 PM 183574176 192091804   2925600      1.49    102460   9397416   3281880      1.60    680608  10274076       148


Average:    183478162 191993986   3023406      1.54    100796   9397280   3386757      1.65    678726  10377929        49
