procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 186598544  83948 2105224    0    0     0   149 17441 47634 10  2 89  0  0
 7  0      0 186545504  83964 2105600    0    0     0   130 17429 48471 10  2 88  0  0
 3  0      0 186535968  83984 2105960    0    0     0   121 17315 47426 10  2 89  0  0
 5  0      0 186392848  84000 2106380    0    0     0   136 17503 48565 10  2 88  0  0
 6  0      0 186627552  84016 2107024    0    0     0   240 17519 48285 10  2 88  0  0
 0  0      0 192507696  84048 1843424    0    0     0   158 16771 43102  9  3 88  0  0
 3  0      0 188575120  84220 2650160    0    0     0   235 11169 29801 26  4 71  0  0
 7  0      0 187946480  84236 3128548    0    0     0   100 15809 39954  6  1 93  0  0
 3  0      0 187869376  84256 3158424    0    0     0    90 16226 39936  6  1 93  0  0
 1  0      0 187795328  84272 3183972    0    0     0    90 16383 40756  6  1 93  0  0
 5  0      0 187804576  84288 3190444    0    0     0    77 16257 39367  6  1 93  0  0
 2  0      0 187739696  84304 3190672    0    0     0   108 16288 40142  6  1 93  0  0
 2  0      0 187700736  84324 3191116    0    0     0   111 16157 38627  6  1 93  0  0
 2  0      0 187652880  84340 3199548    0    0     0   140 16229 40159  6  1 93  0  0
 4  0      0 187658384  84360 3199728    0    0     0    94 16049 38918  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 187653536  84420 3199908    0    0     0    97 16084 39459  6  1 93  0  0
 2  0      0 187627392  84492 3200104    0    0     0   117 16135 39352  6  1 93  0  0
 2  0      0 187629712  84508 3200320    0    0     0   124 15942 39047  6  1 93  0  0
 4  0      0 187630512  84524 3231328    0    0     0   162 16112 39461  6  1 93  0  0
 2  0      0 187630176  84540 3231520    0    0     0   142 16087 39478  6  1 93  0  0
 2  0      0 187622352  84556 3231700    0    0     0   140 16061 39210  6  1 93  0  0
 8  0      0 187599440  84572 3253120    0    0     0   120 16040 39235  6  1 93  0  0
 7  0      0 187587200  84588 3253308    0    0     0   123 16154 39630  6  1 93  0  0
 0  0      0 192434480  84608 1850008    0    0     0   120 15017 35077  5  2 93  0  0
 3  0      0 188381488  84800 2785256    0    0     0   246 12082 30464 26  4 71  0  0
 2  0      0 187935056  84816 3090868    0    0     0   129 15995 40251  6  1 93  0  0
 5  0      0 187844288  84836 3128260    0    0     0    94 16227 40139  6  1 93  0  0
 1  0      0 187753136  84852 3164488    0    0     0    90 16282 40213  6  1 93  0  0
 6  0      0 187712832  84868 3164676    0    0     0   109 16448 40732  6  1 93  0  0
 2  0      0 187685472  84884 3187672    0    0     0   110 16163 39124  6  1 93  0  0
 3  0      0 187640112  84900 3188124    0    0     0   135 16345 40688  6  1 93  0  0
 1  0      0 187629888  84920 3188308    0    0     0    96 16141 39401  6  1 93  0  0
 8  0      0 187608000  84944 3188500    0    0     0    89 16186 39187  6  1 93  0  0
 6  0      0 187597888  85040 3188692    0    0     0   124 16220 40002  6  1 93  0  0
