timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], temperature.gpu
2025/02/11 14:55:06.956, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:56:06.958, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:57:06.960, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:58:06.962, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:59:06.964, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:00:06.966, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:01:06.968, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:02:06.970, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:03:06.972, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:04:06.974, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:05:06.976, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:06:06.978, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:07:06.980, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:08:06.982, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:09:06.984, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:10:06.985, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:11:06.987, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:12:06.989, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:13:06.990, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:14:06.992, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:15:06.994, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:16:06.995, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:17:06.997, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:18:06.998, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:19:07.000, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:20:07.002, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:21:07.004, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:22:07.005, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:23:07.007, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:24:07.009, Tesla P100-PCIE-12GB, 13 %, 4 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:25:07.011, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:26:07.012, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:27:07.013, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:28:07.014, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:29:07.016, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:30:07.018, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:31:07.019, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:32:07.021, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:33:07.022, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:34:07.024, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:35:07.025, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:36:07.026, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:37:07.028, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:38:07.030, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:39:07.032, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:40:07.034, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:41:07.035, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:42:07.037, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:43:07.039, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:44:07.041, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:45:07.043, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:46:07.045, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:47:07.047, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:48:07.049, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:49:07.050, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:50:07.052, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:51:07.054, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:52:07.056, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:53:07.058, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:54:07.060, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:55:07.062, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:56:07.064, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:57:07.066, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:58:07.067, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:59:07.069, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:00:07.071, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:01:07.072, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:02:07.074, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:03:07.076, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:04:07.078, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:05:07.080, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:06:07.082, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:07:07.083, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:08:07.085, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 16:09:07.087, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 33
2025/02/11 16:10:07.089, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 32
2025/02/11 16:11:07.091, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 31
2025/02/11 16:12:07.093, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 31
2025/02/11 16:13:07.095, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 31
2025/02/11 16:14:07.097, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 31
2025/02/11 16:15:07.099, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:16:07.101, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 31
2025/02/11 16:17:07.103, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:18:07.105, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 31
2025/02/11 16:19:07.107, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:20:07.109, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:21:07.111, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:22:07.113, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:23:07.115, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:24:07.116, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:25:07.118, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 31
2025/02/11 16:26:07.120, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:27:07.122, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:28:07.124, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:29:07.126, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 31
2025/02/11 16:30:07.128, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:31:07.130, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:32:07.132, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:33:07.134, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:34:07.136, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:35:07.137, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:36:07.139, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:37:07.141, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:38:07.143, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:39:07.145, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:40:07.147, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:41:07.149, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:42:07.150, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:43:07.152, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:44:07.154, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:45:07.156, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:46:07.158, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
2025/02/11 16:47:07.160, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 659 MiB, 30
