Linux 5.15.0-131-generic (node0.parthaw-241019.hyflowtm-pg0.wisc.cloudlab.us) 	02/11/2025 	_x86_64_	(40 CPU)

02:02:22 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:05:22 PM 183432564 192068988   2933568      1.49    180856   9434140   3554356      1.73    910128  10127000       176
03:06:22 PM 183430992 192067472   2935028      1.49    180904   9434140   3558532      1.74    910188  10128932         4
03:07:22 PM 183432124 192068644   2933812      1.49    180944   9434140   3554356      1.73    910224  10126968       244
03:08:22 PM 183432032 192068596   2933892      1.49    180984   9434144   3554356      1.73    910264  10127048       168
03:09:22 PM 183433176 192069780   2932820      1.49    181016   9434152   3554356      1.73    910296  10127016       156
03:10:22 PM 183432588 192069264   2933244      1.49    181072   9434160   3554356      1.73    910352  10127020       196
03:11:22 PM 183432624 192069344   2933108      1.49    181112   9434164   3559848      1.74    910400  10129964       132
03:12:22 PM 183433088 192069856   2932620      1.49    181160   9434164   3554356      1.73    910440  10127072       204
03:13:22 PM 183432936 192069756   2932508      1.49    181216   9434168   3554356      1.73    910488  10127056       252
03:14:22 PM 183433520 192070380   2931952      1.49    181248   9434172   3554356      1.73    910528  10127052       192
03:15:22 PM 183440424 192077344   2924832      1.49    181312   9434172   3554356      1.73    910584  10127084       160
03:16:22 PM 183444516 192081508   2920896      1.49    181388   9434144   3554356      1.73    910644  10127136       308
03:17:22 PM 183445120 192082192   2920116      1.48    181436   9434176   3554356      1.73    910728  10127048       416
03:18:22 PM 183445280 192082400   2919956      1.48    181476   9434184   3554356      1.73    910768  10127080       156
03:19:22 PM 183445668 192082832   2919616      1.48    181516   9434188   3554356      1.73    910808  10127060       196
03:20:22 PM 183435944 192073180   2929180      1.49    181580   9434196   3554356      1.73    910872  10127096       156
03:21:22 PM 183436180 192073468   2928832      1.49    181628   9434200   3558540      1.74    910924  10129036       204
03:22:22 PM 183437412 192074752   2927736      1.49    181676   9434204   3554356      1.73    910968  10127100         4
03:23:22 PM 183437772 192075160   2927116      1.49    181724   9434204   3554356      1.73    911016  10127104       220
03:24:22 PM 183436696 192074128   2928028      1.49    181764   9434208   3554356      1.73    911056  10127084       296
03:25:22 PM 183444060 192081560   2920652      1.49    181828   9434212   3554356      1.73    911120  10127108       152
03:26:22 PM 183443876 192081432   2920672      1.49    181876   9434220   3554356      1.73    911168  10127096       172
03:27:22 PM 183439660 192077264   2924968      1.49    181924   9434220   3554356      1.73    911216  10127116         4
03:28:22 PM 183439900 192077560   2924752      1.49    181980   9434228   3554356      1.73    911264  10127128        40
03:29:22 PM 183439380 192077084   2925184      1.49    182012   9434232   3554356      1.73    911304  10127116       160
03:30:22 PM 183436672 192074436   2927884      1.49    182076   9434236   3554356      1.73    911360  10127156       164
03:31:22 PM 183435240 192073096   2929180      1.49    182156   9434240   3558540      1.74    911444  10128888       324
03:32:22 PM 183434008 192071908   2930304      1.49    182196   9434244   3554356      1.73    911484  10127168        28
03:33:22 PM 183433612 192071552   2930740      1.49    182252   9434244   3554356      1.73    911524  10127120       228
