procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183433312 181256 9838572    0    0     0     8  443  281  3  0 97  0  0
 1  0      0 183440416 181320 9838572    0    0     0    16  456  291  3  0 97  0  0
 1  0      0 183444832 181388 9838608    0    0     0    22  471  306  3  0 97  0  0
 1  0      0 183445120 181444 9838608    0    0     0    16  449  289  3  0 97  0  0
 1  0      0 183445280 181484 9838616    0    0     0    13  446  270  3  0 97  0  0
 1  0      0 183445664 181524 9838620    0    0     0     9  450  288  3  0 97  0  0
 1  0      0 183435936 181588 9838628    0    0     0    19  465  300  3  0 97  0  0
 1  0      0 183436480 181636 9838636    0    0     0     8  453  293  3  0 97  0  0
 1  0      0 183437408 181684 9838636    0    0     0    13  444  299  3  0 97  0  0
 1  0      0 183437776 181732 9838636    0    0     0     9  459  300  3  0 97  0  0
 1  0      0 183436928 181772 9838640    0    0     0    13  460  286  3  0 97  0  0
 1  0      0 183443808 181836 9838644    0    0     0    12  455  297  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183443872 181884 9838652    0    0     0    10  459  289  3  0 97  0  0
 1  0      0 183440160 181932 9838652    0    0     0    15  479  300  3  0 97  0  0
 1  0      0 183440128 181980 9838660    0    0     0    16  470  307  3  0 97  0  0
 1  0      0 183439376 182020 9838664    0    0     0    14  454  300  3  0 97  0  0
 1  0      0 183436928 182076 9838668    0    0     0    15  458  294  3  0 97  0  0
 1  0      0 183435232 182156 9838672    0    0     0    14  465  309  3  0 97  0  0
 1  0      0 183434304 182204 9838676    0    0     0    15  454  303  3  0 97  0  0
 1  0      0 183433616 182252 9838676    0    0     0     8  451  300  3  0 97  0  0
 1  0      0 183433904 182300 9838680    0    0     0     9  454  301  3  0 97  0  0
 1  0      0 183437968 182364 9838684    0    0     0    17  461  304  3  0 97  0  0
 1  0      0 183437920 182404 9838692    0    0     0    15  493  359  3  0 97  0  0
 1  0      0 183438448 182444 9838692    0    0     0     9  461  313  3  0 97  0  0
 1  0      0 183437536 182488 9838696    0    0     0    20  477  313  3  0 97  0  0
 1  0      0 183437840 182536 9838704    0    0     0    11  466  301  3  0 97  0  0
 1  0      0 183436240 182592 9838708    0    0     0    20  456  306  3  0 97  0  0
 1  0      0 183435584 182640 9838720    0    0     0    14  453  293  3  0 97  0  0
 1  0      0 183435472 182680 9838720    0    0     0    12  459  284  3  0 97  0  0
 1  0      0 183436256 182720 9838728    0    0     0    15  451  269  3  0 97  0  0
 1  0      0 183436080 182760 9838736    0    0     0    11  445  280  3  0 97  0  0
 1  0      0 183431568 182824 9838736    0    0     0    16  445  283  3  0 97  0  0
 1  0      0 183432336 182880 9838736    0    0     0    14  455  286  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183432192 182920 9838740    0    0     0    14  449  285  3  0 97  0  0
 1  0      0 183431968 182960 9838740    0    0     0     8  438  279  3  0 97  0  0
 1  0      0 183432304 183000 9838744    0    0     0    12  452  275  3  0 97  0  0
 1  0      0 183427728 183040 9838752    0    0     0    11  456  297  3  0 97  0  0
 1  0      0 183428032 183088 9838760    0    0     0    12  451  284  3  0 97  0  0
 1  0      0 183428352 183128 9838760    0    0     0     8  443  286  3  0 97  0  0
 1  0      0 183428688 183168 9838760    0    0     0    11  439  296  3  0 97  0  0
 1  0      0 183428304 183208 9838764    0    0     0    11  447  300  3  0 97  0  0
 1  0      0 183428512 183256 9838764    0    0     0    15  454  296  3  0 97  0  0
 1  0      0 183429520 183304 9838768    0    0     0    11  448  266  3  0 97  0  0
 1  0      0 183429600 183344 9838768    0    0     0     8  439  276  3  0 97  0  0
 1  0      0 183430640 183376 9838772    0    0     0    11  442  280  3  0 97  0  0
 1  0      0 183430400 183416 9838776    0    0     0    11  446  280  3  0 97  0  0
 2  0      0 183415200 183464 9838780    0    0     0    15  455  287  3  0 97  0  0
 1  0      0 183430576 183520 9838780    0    0     0    12  464  287  3  0 97  0  0
 1  0      0 183430624 183560 9838788    0    0     0     9  449  266  3  0 97  0  0
 1  0      0 183430880 183600 9838788    0    0     0    14  444  278  3  0 97  0  0
 1  0      0 183432016 183648 9838780    0    0     0    12  451  285  3  0 97  0  0
 1  0      0 183432032 183688 9838792    0    0     0    14  446  286  3  0 97  0  0
 1  0      0 183426832 183752 9838796    0    0     0    21  491  302  3  0 97  0  0
 1  0      0 183425920 183832 9838800    0    0     0    32  525  315  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183424272 183904 9838812    0    0     0    32  528  312  3  0 97  0  0
 0  0      0 183424112 183996 9838856    0    0     0    42  386  223  1  0 99  0  0
 0  0      0 183423968 184060 9838868    0    0     0    18  252  148  0  0 100  0  0
 0  0      0 183423552 184116 9838876    0    0     0    29  223  137  0  0 100  0  0
 0  0      0 183422384 184156 9838876    0    0     0    12  207  123  0  0 100  0  0
 0  0      0 183421968 184196 9838880    0    0     0    15  208  125  0  0 100  0  0
 0  0      0 183420592 184236 9838884    0    0     0    11  197  120  0  0 100  0  0
 0  0      0 183421888 184292 9838896    0    0     0    18  206  125  0  0 100  0  0
 0  0      0 183430176 184340 9838900    0    0     0    15  216  146  0  0 100  0  0
 0  0      0 183429872 184396 9838904    0    0     0    18  227  149  0  0 100  0  0
 0  0      0 183431344 184436 9838908    0    0     0    14  231  149  0  0 100  0  0
 0  0      0 183432032 184476 9838912    0    0     0    17  223  144  0  0 100  0  0
 0  0      0 183432320 184516 9838916    0    0     0    17  223  147  0  0 100  0  0
 0  0      0 183431552 184556 9838920    0    0     0    12  222  144  0  0 100  0  0
 0  0      0 183432352 184612 9838920    0    0     0    13  226  149  0  0 100  0  0
 0  0      0 183426048 184660 9838928    0    0     0    16  237  149  0  0 100  0  0
 0  0      0 183434208 184700 9838944    0    0     0    15  225  145  0  0 100  0  0
 0  0      0 183434800 184748 9838952    0    0     0    15  233  147  0  0 100  0  0
 0  0      0 183435280 184796 9838956    0    0     0    14  228  147  0  0 100  0  0
 0  0      0 183421840 184864 9847192    0    0     0   152  235  149  0  0 100  0  0
 0  0      0 183426496 184912 9847196    0    0     0    16  220  151  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 183422432 184960 9847196    0    0     0    14  226  150  0  0 100  0  0
 0  0      0 183423968 185000 9847212    0    0     0    13  232  151  0  0 100  0  0
 0  0      0 183430144 185080 9847212    0    0     0    23  237  153  0  0 100  0  0
