procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 500167392 194796 11317024    0    0     0   102 59784 148060  1  1 98  0  0
 2  0      0 500251840 194812 11317228    0    0     0   134 60858 146652  1  1 98  0  0
 5  0      0 500312256 194828 11317380    0    0     0   122 59146 147004  1  1 98  0  0
 3  0      0 500354688 194844 11317456    0    0     0   145 60371 145327  1  1 98  0  0
 3  0      0 500354144 194860 11317612    0    0     0   118 60769 146042  1  1 98  0  0
 4  0      0 500313120 194876 11318552    0    0     0   263 60892 146800  1  1 98  0  0
 5  0      0 500231168 194888 11318700    0    0     0   153 60456 145699  1  1 98  0  0
 3  0      0 500221472 194896 11318864    0    0     0   122 58926 146021  1  1 98  0  0
 3  0      0 500258976 194912 11319008    0    0     0   121 60731 146727  1  1 98  0  0
 3  0      0 504721632 195388 8310420    0    0     0   480 50344 97132 12  7 81  0  0
 2  0      0 501200480 195404 10917808    0    0     0   463 68838 161664  1  2 97  0  0
 9  0      0 500573664 195420 11237988    0    0     0   174 65144 151750  1  1 98  0  0
 2  0      0 500404224 195436 11289844    0    0     0   101 64034 149314  1  1 98  0  0
 5  0      0 500363232 195452 11289944    0    0     0   103 63807 148904  1  1 98  0  0
 5  0      0 500295360 195468 11290120    0    0     0   110 61412 149828  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 500188832 195484 11352924    0    0     0   112 61630 151009  1  1 98  0  0
 5  0      0 500129280 195500 11353128    0    0     0   202 64105 146594  1  1 98  0  0
 4  0      0 500021792 195516 11353292    0    0     0    90 60636 149375  1  1 98  0  0
 3  0      0 499995872 195532 11353508    0    0     0   116 63934 148957  1  1 98  0  0
 3  0      0 500019648 195556 11353668    0    0     0   109 62423 148751  1  1 98  0  0
 2  0      0 499974112 195632 11353836    0    0     0   114 62281 147405  1  1 98  0  0
 3  0      0 499925024 195704 11355000    0    0     0   313 60738 149680  1  1 98  0  0
 2  0      0 499912448 195716 11355164    0    0     0   103 62301 148454  1  1 98  0  0
 3  0      0 499964960 195732 11355296    0    0     0   154 61683 149054  1  1 98  0  0
 2  0      0 499943552 195748 11465672    0    0     0   135 62337 149755  1  1 98  0  0
 3  0      0 499921248 195764 11465848    0    0     0   124 60486 149088  1  1 98  0  0
 2  0      0 499891264 195780 11465996    0    0     0   111 60161 149667  1  1 98  0  0
 4  0      0 499873984 195792 11466908    0    0     0   136 61505 148547  1  1 98  0  0
 3  0      0 499901248 195800 11467080    0    0     0   248 60266 148986  1  1 98  0  0
 6  0      0 504736096 196260 8267764    0    0     0   222 49650 103177 13  7 81  0  0
 1  0      0 500584864 196276 11623880    0    0     0   505 64106 150412  1  2 97  0  0
 4  0      0 499844000 196292 12044496    0    0     0   164 61821 141620  1  1 98  0  0
 6  0      0 499538560 196300 12204948    0    0     0   109 62144 146188  1  1 98  0  0
 4  0      0 499208768 196316 12362344    0    0     0   103 61068 147678  1  1 98  0  0
 2  0      0 499286656 196328 12361956    0    0     0   127 59976 146174  1  1 98  0  0
 2  0      0 499039392 196340 12363092    0    0     0   126 61080 145767  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 499101760 196356 12363700    0    0     0   245 61945 146161  1  1 98  0  0
 4  0      0 499067392 196372 12394884    0    0     0   124 61445 145779  1  1 98  0  0
 4  0      0 498968032 196388 12395100    0    0     0   103 59619 144085  1  1 98  0  0
 5  0      0 499053408 196404 12394648    0    0     0   102 60043 145736  1  1 98  0  0
 7  0      0 498976640 196444 12395116    0    0     0    96 61895 146178  1  1 98  0  0
 2  0      0 498913280 196508 12396472    0    0     0   266 59836 145398  1  1 98  0  0
 3  0      0 498874336 196576 12396300    0    0     0   137 60057 146154  1  1 98  0  0
 2  0      0 498737184 196596 12396572    0    0     0   136 59987 145218  1  1 98  0  0
 4  0      0 498830880 196612 12396832    0    0     0   130 60739 144131  1  1 98  0  0
 4  0      0 498942720 196628 12396336    0    0     0   136 61915 143078  1  1 98  0  0
 2  0      0 499039136 196640 12396124    0    0     0   133 59627 145999  1  1 98  0  0
 4  0      0 498901536 196656 12521920    0    0     0   138 61889 146572  1  1 98  0  0
 3  0      0 498882048 196672 12521892    0    0     0   273 61024 144506  1  1 98  0  0
 2  0      0 498915616 196684 12523628    0    0     0   127 60750 145812  1  1 98  0  0
 5  0      0 498817760 196700 12523688    0    0     0   138 59285 145805  1  1 98  0  0
 3  0      0 498775264 196716 12523800    0    0     0   140 60071 144920  1  1 98  0  0
 2  0      0 504084352 197188 8861128    0    0     0   560 46157 93131 12  7 81  0  0
 3  0      0 499998048 197204 12015900    0    0     0   244 62501 152616  1  2 97  0  0
 6  0      0 499296800 197220 12340092    0    0     0    89 64760 149034  1  1 98  0  0
 6  0      0 499177856 197244 12340676    0    0     0   119 62718 145660  1  1 98  0  0
 5  0      0 499195936 197260 12340620    0    0     0    98 61425 145500  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 499114112 197276 12341076    0    0     0    98 60853 147851  1  1 98  0  0
 2  0      0 499101376 197304 12341464    0    0     0   188 61207 147431  1  1 98  0  0
 2  0      0 499046208 197320 12341560    0    0     0   178 62553 144080  1  1 98  0  0
 1  0      0 498940704 197336 12341960    0    0     0   124 61661 146830  1  1 98  0  0
 1  0      0 498862016 197352 12341884    0    0     0   105 62088 146140  1  1 98  0  0
 4  0      0 498923680 197384 12342044    0    0     0   101 61046 147005  1  1 98  0  0
 1  0      0 498823744 197452 12342232    0    0     0   153 61428 146190  1  1 98  0  0
 3  0      0 498828448 197508 12343380    0    0     0   231 61676 146422  1  1 98  0  0
 2  0      0 498744896 197540 12343516    0    0     0   200 60560 147505  1  1 98  0  0
 3  0      0 498800064 197556 12343760    0    0     0   129 60598 144197  1  1 98  0  0
 2  0      0 498908064 197564 12343884    0    0     0   141 59593 147279  1  1 98  0  0
 2  0      0 498776576 197576 12343936    0    0     0   118 60066 145779  1  1 98  0  0
38  0      0 498765600 197592 12344028    0    0     0   120 59168 144951  1  1 98  0  0
 2  0      0 498683904 197608 12465268    0    0     0   240 59298 147239  1  1 98  0  0
 4  0      0 498579904 197624 12465464    0    0     0   129 60456 146190  1  1 98  0  0
 1  0      0 514241056 197676 8121896    0    0     0   207 45251 98798  1  4 95  0  0
 3  0      0 499572800 198120 12451288    0    0     4   453 70966 165763 13  4 83  0  0
 4  0      0 498665472 198128 13057188    0    0     0   206 64517 147558  1  1 98  0  0
 4  0      0 498488448 198144 13256336    0    0     0   124 61762 150513  1  1 98  0  0
 2  0      0 498126688 198160 13256868    0    0     0    96 63625 148691  1  1 98  0  0
 3  0      0 497964032 198176 13450996    0    0     0   117 62762 151637  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 497894400 198192 13450104    0    0     0    94 61279 144386  1  1 98  0  0
 2  0      0 497852992 198212 13451392    0    0     0   255 61422 144933  1  1 98  0  0
 2  0      0 497641984 198228 13453076    0    0     0    95 61596 141588  1  1 98  0  0
 3  0      0 497675392 198244 13453504    0    0     0    98 60046 145733  1  1 98  0  0
 1  0      0 497600800 198260 13452108    0    0     0    90 61086 145687  1  1 98  0  0
 3  0      0 497673376 198276 13452144    0    0     0   116 60005 145054  1  1 98  0  0
 6  0      0 497521472 198308 13451544    0    0     0   115 60373 146150  1  1 98  0  0
 2  0      0 497439168 198376 13452452    0    0     0   299 59731 146703  1  1 98  0  0
 3  0      0 497459296 198432 13453300    0    0     0   121 59913 147724  1  1 98  0  0
 2  0      0 497376928 198456 13452520    0    0     0   144 59802 148196  1  1 98  0  0
 3  0      0 497517440 198480 13501036    0    0     0   148 59075 143928  1  1 98  0  0
 3  0      0 497638336 198496 13500728    0    0     0   113 60279 144533  1  1 98  0  0
 4  0      0 497763040 198512 13501116    0    0     0   113 59447 144555  1  1 98  0  0
 4  0      0 497664352 198528 13501976    0    0     0   303 61674 146584  1  1 98  0  0
 2  0      0 497616544 198536 13502148    0    0     0   116 61422 146221  1  1 98  0  0
 7  0      0 497521952 198552 13501336    0    0     0   147 59911 147040  1  1 98  0  0
 5  0      0 497585600 198568 13500516    0    0     0   108 59455 145292  1  1 98  0  0
 6  0      0 497551168 198580 13500412    0    0     0   130 59862 144325  1  1 98  0  0
53  0      0 506640416 198848 8315928    0    0     0   204 34187 65456  5  6 89  0  0
 2  0      0 499758560 199052 12262580    0    0     7   535 80545 174894  8  4 88  0  0
 3  0      0 498865184 199064 12630964    0    0     0   152 63273 135570  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 498326112 199088 13041820    0    0     0   110 62564 146817  1  1 97  0  0
 2  0      0 497952416 199104 13041936    0    0     0   101 62219 146320  1  1 98  0  0
 2  0      0 497794656 199120 13239672    0    0     0    99 62952 147953  1  1 98  0  0
 3  0      0 497860608 199140 13240280    0    0     0   105 62961 148505  1  1 98  0  0
 2  0      0 497684800 199156 13244084    0    0     0   230 63093 147107  1  1 98  0  0
 3  0      0 497691232 199172 13242096    0    0     0   123 60772 147656  1  1 98  0  0
 5  0      0 497406336 199188 13241516    0    0     0   102 61679 148378  1  1 98  0  0
 2  0      0 497251264 199204 13390260    0    0     0    96 61721 147542  1  1 98  0  0
 3  0      0 497373408 199224 13390260    0    0     0   112 60403 148234  1  1 98  0  0
 2  0      0 497205600 199284 13390484    0    0     0   118 61435 146233  1  1 98  0  0
 1  0      0 497186240 199344 13391796    0    0     0   287 62470 145299  1  1 98  0  0
 5  0      0 497068288 199372 13391308    0    0     0   117 63216 146558  1  1 98  0  0
 1  0      0 497076352 199424 13390624    0    0     0   198 60534 146653  1  1 98  0  0
 1  0      0 497314336 199440 13390788    0    0     0   125 60429 148504  1  1 98  0  0
 3  0      0 497318528 199456 13390864    0    0     0   135 61618 145131  1  1 98  0  0
 3  0      0 497302048 199472 13390996    0    0     0   128 61427 146498  1  1 98  0  0
 1  0      0 497138464 199488 13392176    0    0     0   279 61339 147493  1  1 98  0  0
 3  0      0 497212928 199504 13392056    0    0     0   110 60607 146381  1  1 98  0  0
 4  0      0 497252352 199520 13392044    0    0     0   112 61894 145834  1  1 98  0  0
 2  0      0 514243808 199616 8144968    0    0     0   232 34573 51261  1  5 95  0  0
 4  0      0 504164672 200056 8202224    0    0     8   595 79815 178803 14  4 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 503960320 200184 8205592    0    0     0   446 88708 214820  3  1 96  0  0
 1  0      0 514097024 200236 8153612    0    0     0   384 75675 179487  3  3 94  0  0
 5  0      0 503729600 200684 8268212    0    0     8   756 79052 173794 14  4 82  0  0
 7  0      0 503368768 200860 8270184    0    0     0   466 87444 204787  3  1 96  0  0
 4  0      0 503375488 200876 8272080    0    0     0   337 85682 200886  3  1 96  0  0
 8  1      0 503700384 201332 8326588    0    0     0   627 57820 124495 13  6 81  0  0
 3  0      0 503093376 201468 8335544    0    0     0   298 84641 194219  3  1 96  0  0
 4  0      0 502789568 201484 8337372    0    0     0   367 85242 196119  3  1 96  0  0
 9  0      0 507981632 201752 8178408    0    0     8   300 54845 119285  6  4 90  0  0
10  0      0 502786912 201980 8389916    0    0     0   706 93549 209566 11  4 86  0  0
 2  0      0 502295840 202116 8404120    0    0     0   367 83995 188051  3  1 96  0  0
 7  0      0 502405408 202136 8405756    0    0     0   284 83911 184897  3  1 96  0  0
 6  0      0 503089568 202592 8446904    0    0     0   668 64766 131698 13  7 80  0  0
 5  0      0 502264224 202664 8452160    0    0     0   284 80580 163747  3  1 96  0  0
 1  0      0 501667488 202744 8457452    0    0     0   310 81438 167917  3  1 96  0  0
 5  0      0 501587584 202760 8458880    0    0     0   268 82512 171964  3  1 96  0  0
58  0      0 504542720 203088 8239072    0    0     0   409 55378 97205  7  4 88  0  0
 2  0      0 502300224 203276 10241912    0    0     0   524 70845 144723  8  3 90  0  0
 5  0      0 502192000 203296 10242548    0    0     0   222 67124 123595  2  1 98  0  0
 1  0      0 502155104 203360 10243128    0    0     0   158 67477 123267  2  1 98  0  0
 3  0      0 502125376 203456 10243744    0    0     0   180 67363 123600  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 502101536 203472 10271780    0    0     0   173 67047 122532  2  1 98  0  0
 5  0      0 513463200 203536 8205584    0    0     0   215 43442 80156  1  3 96  0  0
 2  0      0 502369856 203968 10140656    0    0     8   543 76060 144135 13  4 83  0  0
 5  0      0 502238848 203988 10144764    0    0     0   260 68852 128173  2  1 97  0  0
 1  0      0 502096960 204052 10169332    0    0     0   172 69042 128462  2  1 97  0  0
 1  0      0 502077248 204140 10170000    0    0     0   200 69033 127033  2  1 97  0  0
 8  0      0 502081120 204156 10170644    0    0     0   216 68028 127106  2  1 97  0  0
 2  1      0 502761344 204620 9844072    0    0     8   619 55040 108394 13  6 81  0  0
 1  0      0 500135808 204636 12257944    0    0     0   170 59661 102538  1  1 98  0  0
 1  0      0 499961824 204652 12278784    0    0     0   224 63450 109766  2  1 98  0  0
 7  0      0 499871616 204668 12279232    0    0     0   150 62876 107502  2  1 98  0  0
 3  0      0 499858144 204756 12279676    0    0     0   170 63084 108495  2  1 98  0  0
 4  0      0 499890752 204820 12285432    0    0     0   174 62426 107027  2  1 98  0  0
 2  0      0 499880288 204920 12304508    0    0     0   411 64330 108272  2  1 98  0  0
 4  0      0 499857824 204936 12304940    0    0     0   274 62844 107406  2  1 98  0  0
16  0      0 507945664 205152 8224052    0    0     0   276 34991 60006  5  4 91  0  0
 1  0      0 500625568 205500 11750112    0    0    10   605 72936 134770  9  3 87  0  0
 2  0      0 500084512 205520 12094236    0    0     0   217 61920 105385  2  1 98  0  0
 6  0      0 499993088 205536 12094632    0    0     0   152 61733 105941  2  1 98  0  0
 2  0      0 499849728 205552 12096732    0    0     0   127 61359 105108  2  1 98  0  0
 2  0      0 499843584 205668 12097128    0    0     0   138 60743 103739  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 499843808 205704 12097644    0    0     0   110 61080 105215  2  1 98  0  0
 2  0      0 499873280 205720 12098592    0    0     0   290 61165 104688  2  1 98  0  0
 1  0      0 499856896 205736 12098980    0    0     0   162 60505 103621  2  0 98  0  0
 4  0      0 502797632 206208 9880928    0    0     0   306 53614 110939 12  7 81  0  0
 3  0      0 501058912 206224 11056696    0    0     0   528 62640 145146  1  1 98  0  0
 5  0      0 500532736 206240 11316856    0    0     0   178 62602 146888  1  1 98  0  0
 4  0      0 500385024 206256 11356960    0    0     0   113 62616 150592  1  1 98  0  0
 3  0      0 500328416 206272 11461412    0    0     0   110 62528 149453  1  1 98  0  0
 1  0      0 500296032 206292 11461500    0    0     0   100 62251 147077  1  1 98  0  0
 3  0      0 500220672 206308 11462304    0    0     0   114 61401 148003  1  1 98  0  0
 5  0      0 500043200 206324 11462388    0    0     0   222 61855 147958  1  1 98  0  0
 5  0      0 500075968 206340 11462536    0    0     0   120 59881 147910  1  1 98  0  0
 3  0      0 500069088 206356 11462664    0    0     0   112 61863 145629  1  1 98  0  0
 2  0      0 500133408 206372 11462832    0    0     0   110 61108 146504  1  1 98  0  0
 2  0      0 500119552 206432 11463000    0    0     0   125 61007 147220  1  1 98  0  0
 2  0      0 500001952 206504 11464160    0    0     0   278 60410 146958  1  1 98  0  0
 2  0      0 499962880 206544 11464308    0    0     0   166 62119 147367  1  1 98  0  0
 5  0      0 499856256 206560 11553460    0    0     0   112 61254 148501  1  1 98  0  0
 3  0      0 500073952 206576 11553660    0    0     0   155 61055 146742  1  1 98  0  0
 2  0      0 500131200 206592 11553828    0    0     0   127 61290 145419  1  1 98  0  0
 3  0      0 500037536 206608 11553988    0    0     0   124 59528 147290  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 500027008 206624 11554896    0    0     0   146 59415 147633  1  1 98  0  0
 4  0      0 499885024 206640 11672208    0    0     0   254 60473 147210  1  1 98  0  0
 2  0      0 499919552 206656 11672380    0    0     0   124 60585 146117  1  1 98  0  0
 3  0      0 499870688 206680 11672580    0    0     0   158 59251 147398  1  1 98  0  0
283  0      0 501846304 207148 8360288    0    0     7   346 45647 98082 11  7 82  0  0
 2  0      0 500914048 207172 11209052    0    0     0   436 67725 164244  2  2 96  0  0
 5  0      0 500339520 207188 11508048    0    0     0   157 64657 150417  1  1 98  0  0
 2  0      0 500154304 207204 11509328    0    0     0   103 61950 148510  1  1 98  0  0
 3  0      0 500017248 207220 11509476    0    0     0   104 62107 146761  1  1 98  0  0
 2  0      0 500021728 207236 11509636    0    0     0   100 62284 148018  1  1 98  0  0
 5  0      0 500056992 207256 11510392    0    0     0   206 61032 149139  1  1 98  0  0
 2  0      0 499986144 207272 11510612    0    0     0   105 60867 148041  1  1 98  0  0
 3  0      0 499833376 207296 11514484    0    0     7   113 61900 146775  1  1 98  0  0
 3  0      0 499779520 207312 11514636    0    0     0   150 61166 148921  1  1 98  0  0
 5  0      0 499833568 207332 11514792    0    0     0    96 62223 147248  1  1 98  0  0
 4  0      0 499772032 207428 11515012    0    0     0   124 60706 147774  1  1 98  0  0
 2  0      0 499736224 207480 11516052    0    0     0   141 60898 148655  1  1 98  0  0
 2  0      0 499752192 207504 11516232    0    0     0   310 62866 145834  1  1 98  0  0
 2  0      0 499792832 207520 11516392    0    0     0   143 61935 146089  1  1 98  0  0
 2  0      0 499805632 207536 11516560    0    0     0   126 61437 148103  1  1 98  0  0
 1  0      0 499834976 207552 11516704    0    0     0    97 60864 146443  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 499776768 207560 11516944    0    0     0   129 60877 145929  1  1 98  0  0
 1  0      0 499773056 207576 11517796    0    0     0   130 62422 148225  1  1 98  0  0
 3  0      0 499825376 207592 11517972    0    0     0   264 60776 147726  1  1 98  0  0
43  0      0 506854240 207868 8408808    0    0     0   301 35329 67010  5  5 90  0  0
 4  0      0 500370016 208072 11732984    0    0     0   479 76524 181428  9  4 87  0  0
 6  0      0 499537664 208088 12326320    0    0     0   157 64514 146092  1  1 98  0  0
 2  0      0 499288416 208104 12526176    0    0     0   104 61232 148386  1  1 98  0  0
 3  0      0 499121856 208120 12526264    0    0     0   114 62694 147794  1  1 98  0  0
 4  0      0 499100672 208136 12526328    0    0     0    95 62517 150549  1  1 98  0  0
 3  0      0 498840704 208156 12527056    0    0     0   103 61437 151658  1  1 98  0  0
 3  0      0 498757536 208172 12528824    0    0     0   217 62736 149471  1  1 98  0  0
 4  0      0 498808256 208188 12528688    0    0     0   100 59798 147286  1  1 98  0  0
 5  0      0 498759424 208212 12528572    0    0     0   145 61706 144999  1  1 98  0  0
 2  0      0 498879264 208228 12528744    0    0     0   102 61322 146918  1  1 98  0  0
 4  0      0 498844064 208256 12528724    0    0     0   105 59739 146407  1  1 98  0  0
 6  0      0 498767072 208328 12539992    0    0     0   106 60074 145864  1  1 98  0  0
 3  0      0 498527552 208400 12541124    0    0     0   273 60772 145534  1  1 98  0  0
 2  0      0 498640736 208420 12541284    0    0     0   134 59316 145997  1  1 98  0  0
 2  0      0 498781088 208436 12541408    0    0     0   148 59137 146347  1  1 98  0  0
