Round 1, Accuracy: 11.39%
Round 2, Accuracy: 71.32%
Round 3, Accuracy: 79.88%
Round 4, Accuracy: 82.72%
Round 5, Accuracy: 84.79%
Round 6, Accuracy: 85.07%
Round 7, Accuracy: 85.83%
Round 8, Accuracy: 86.49%
Round 9, Accuracy: 86.99%
Round 10, Accuracy: 86.93%
Round 11, Accuracy: 87.25%
Round 12, Accuracy: 87.32%
Round 13, Accuracy: 87.08%
Round 14, Accuracy: 87.43%
Round 15, Accuracy: 87.1%
Round 16, Accuracy: 87.37%
Round 17, Accuracy: 87.76%
Round 18, Accuracy: 87.66%
Round 19, Accuracy: 87.74%
Round 20, Accuracy: 87.39%
