Linux 5.15.0-131-generic (node0.parthaw-244253.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(48 CPU)

11:14:19 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:24:49 PM 252351744 253128760   5974392      2.26    163684   5068492  38217932     14.03    682924   9684788       168
11:24:59 PM 252402296 253179536   5923640      2.24    163708   5068700  38186092     14.02    682940   9647464       128
11:25:09 PM 252327304 253104828   5998212      2.27    163772   5068904  38188756     14.02    683012   9730224       268
11:25:19 PM 252284548 253062340   6040584      2.29    163840   5069108  38278088     14.05    683072   9755752       132
11:25:29 PM 252308952 253086988   6015816      2.28    163860   5069328  38196388     14.02    683100   9677232        68
11:25:39 PM 252251300 253029564   5998272      2.27    163872   5144536  37978644     13.94    683112   9714208       200
11:25:49 PM 252281484 253060384   5967260      2.26    163888   5145140  38223636     14.03    683128   9725800        24
11:25:59 PM 252267124 253046236   5981384      2.27    163904   5145340  38245596     14.04    683144   9738232        12
11:26:09 PM 252222996 253002352   6025160      2.28    163920   5145572  38050316     13.97    683160   9780584       436
11:26:19 PM 259613748 260393244   1807276      0.68    163940   1996244   3748268      1.38    682984   2547972       672
11:26:29 PM 253666820 254448412   5570640      2.11    164140   4155728  36900256     13.55    683404   8438360       524
11:26:39 PM 252896332 253678168   5768576      2.18    164156   4728608  37744496     13.86    683416   9191228       300
11:26:49 PM 252665904 253447940   5883060      2.23    164168   4844564  37963776     13.94    683428   9417024       424
11:26:59 PM 252531904 253314168   5939344      2.25    164184   4922116  38051168     13.97    683444   9524652       264
11:27:09 PM 252509872 253292396   5961076      2.26    164200   4922356  38082372     13.98    683460   9560284       188
11:27:19 PM 252412688 253195456   6057988      2.29    164216   4922568  38155792     14.01    683468   9648052       180
11:27:29 PM 252310932 253094232   6087160      2.31    164236   4994948  38265800     14.05    683492   9757664       404
11:27:39 PM 252268604 253052148   6127704      2.32    164276   4996728  38270764     14.05    683524   9763228       228
11:27:49 PM 252250148 253033984   6145900      2.33    164364   4996952  38294648     14.06    683600   9790136       296
11:27:59 PM 252226832 253010972   6168960      2.34    164400   4997176  38318080     14.07    683652   9820060       556
11:28:09 PM 252134600 252918976   6187636      2.34    164412   5070836  38362588     14.08    683664   9875932       368
11:28:19 PM 252174760 252959328   6147260      2.33    164428   5071028  38316252     14.07    683676   9842364       108
11:28:29 PM 252162824 252948024   6158464      2.33    164452   5071628  38345888     14.08    683704   9871148       488
11:28:39 PM 252163292 252948732   6157740      2.33    164468   5071864  38360428     14.08    683716   9882132       324
11:28:49 PM 258942620 259728244   2470276      0.94    164524   2001412   5335404      1.96    683592   3334032       972
11:28:59 PM 251686876 252474768   5790796      2.19    164716   5904400  38891480     14.28    683968  10273776       304
11:29:09 PM 251320584 252108728   6018176      2.28    164736   6044076  39143348     14.37    683992  10660792       172
11:29:19 PM 251046048 251834452   6075152      2.30    164748   6262328  39410576     14.47    684004  10918508       140
11:29:29 PM 251031712 251820340   6086528      2.31    164764   6263568  39423496     14.47    684020  10912364       164
11:29:39 PM 250983088 251771900   6135960      2.32    164772   6263736  39476248     14.49    684028  10966652       272
11:29:49 PM 250821204 251610212   6298856      2.39    164784   6263964  39561812     14.52    684040  11100088       148
11:29:59 PM 250649940 251439492   6360108      2.41    164804   6373392  39730556     14.59    684060  11272180        92
11:30:09 PM 250712780 251502516   6292684      2.38    164820   6379424  39709452     14.58    684076  11224552         0
11:30:19 PM 250682952 251472996   6322600      2.39    164864   6379616  39700096     14.57    684112  11235792       296
11:30:29 PM 250571548 251361844   6434628      2.44    164944   6379816  39789152     14.61    684200  11340376       424
