procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 252258368 163912 5385272    0    0     0   120 18177 44751  4  1 95  0  0
 1  0      0 252239280 163928 5385496    0    0     0   144 18467 45273  4  1 95  0  0
 2  0      0 259584000 163984 2235572    0    0     0   152 13932 32396  3  2 95  0  0
 2  0      0 253340960 164148 4691736    0    0     0   238 20102 57664 22  3 74  0  0
 2  0      0 252819296 164160 5013008    0    0     0   133 18620 47433  4  1 95  0  0
 5  0      0 252545936 164176 5157760    0    0     0    98 18784 46815  4  1 95  0  0
 3  0      0 252534464 164192 5162668    0    0     0    83 18644 46624  4  1 95  0  0
 2  0      0 252506144 164208 5162916    0    0     0    93 18817 46434  4  1 95  0  0
 1  0      0 252394624 164224 5163144    0    0     0   122 18759 46674  4  1 95  0  0
 4  1      0 252280688 164244 5237088    0    0     0   159 18738 46700  4  1 95  0  0
 4  1      0 252252896 164296 5237344    0    0     0   124 18639 46413  4  1 95  0  0
 2  1      0 252225632 164380 5237548    0    0     0   123 18588 46215  4  1 95  0  0
 2  1      0 252233296 164408 5237792    0    0     0   114 18749 45782  4  1 95  0  0
 1  0      0 252141424 164420 5311444    0    0     0   133 18516 46017  4  1 95  0  0
 1  0      0 252173472 164436 5311688    0    0     0   119 18809 46412  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 252162592 164452 5312280    0    0     0   173 18632 46327  4  1 95  0  0
 1  0      0 252154464 164468 5312496    0    0     0   110 18517 46441  4  1 95  0  0
 8  0      0 256054368 164696 2360620    0    0     0   191 15415 40543 21  4 75  0  0
 4  0      0 251542576 164716 6149480    0    0     0   234 28375 145605  4  3 92  0  0
 5  0      0 251348736 164736 6285696    0    0     0   130 28835 131543  4  3 93  0  0
 2  0      0 250973728 164748 6505212    0    0     0   111 27076 142361  4  3 93  0  0
 2  0      0 250981616 164764 6505376    0    0     0    92 29027 128815  4  2 93  0  0
 2  0      0 250963648 164772 6505680    0    0     0   110 30389 141965  4  2 93  0  0
 4  0      0 250832288 164788 6505968    0    0     0    93 30228 129030  4  3 93  0  0
 2  0      0 250648992 164804 6621160    0    0     0   153 26912 141909  4  3 93  0  0
 4  0      0 250650448 164820 6621364    0    0     0   100 28153 133118  4  2 93  0  0
 4  0      0 250668448 164876 6621632    0    0     0   120 27074 132644  4  2 93  0  0
 2  0      0 250571968 164960 6621780    0    0     0   142 28399 140720  4  2 93  0  0
 5  0      0 250547488 164984 6622092    0    0     0   132 28578 137299  4  2 93  0  0
 1  0      0 250679248 164996 6622696    0    0     0   132 26859 140286  5  3 93  0  0
 3  0      0 250637200 165000 6701472    0    0     0   187 29993 140278  4  2 93  0  0
 5  0      0 250624864 165016 6701796    0    0     0   118 26627 135352  4  2 93  0  0
 3  0      0 250562176 165028 6701696    0    0     0   134 29232 131231  4  2 93  0  0
 1  0      0 250497824 165044 6701780    0    0     0   134 26716 135125  4  3 93  0  0
 4  0      0 250534320 165060 6702048    0    0     0   130 28833 127411  4  2 94  0  0
 3  1      0 252578432 165276 5376608    0    0     0   139 20145 79309 22  6 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 251283472 165292 6290620    0    0     0   212 30923 129686  4  3 93  0  0
 5  0      0 251009856 165312 6430508    0    0     0   108 33406 135994  4  3 93  0  0
 2  0      0 250845136 165328 6430528    0    0     0    79 31077 126214  4  3 93  0  0
 2  0      0 250884864 165344 6430672    0    0     0    85 29781 124130  4  2 93  0  0
 2  0      0 250870384 165360 6430884    0    0     0    89 28379 127638  4  3 93  0  0
 2  0      0 250751808 165380 6431352    0    0     0   118 27063 127569  4  2 93  0  0
 4  0      0 250631696 165388 6431600    0    0     0   154 27633 127345  4  3 93  0  0
 4  0      0 250642320 165408 6431708    0    0     0   107 27980 121477  4  3 93  0  0
 3  0      0 250614032 165476 6431872    0    0     0    98 29131 119734  4  3 93  0  0
 2  0      0 250627712 165548 6432064    0    0     0   112 27257 128903  4  2 93  0  0
 4  0      0 250515984 165576 6473296    0    0     0   127 29272 137749  4  2 93  0  0
 3  0      0 250543808 165596 6473944    0    0     0   205 29716 126645  4  3 93  0  0
 4  0      0 250628160 165608 6474096    0    0     0   136 27103 121819  4  2 93  0  0
 2  0      0 250605072 165624 6474288    0    0     0   111 27749 122371  4  2 94  0  0
 3  0      0 250612416 165640 6474504    0    0     0   117 27869 127534  4  2 93  0  0
 3  0      0 250543072 165656 6474696    0    0     0   142 29130 130430  4  2 93  0  0
 9  0      0 257492032 165780 2254204    0    0     0   130 18064 63655  9  4 87  0  0
 1  0      0 250898288 165876 6879892    0    0     0   236 35804 137172 16  4 79  0  0
 2  0      0 250228208 165896 7301292    0    0     0    90 29964 128504  5  3 93  0  0
 3  0      0 250004848 165908 7300928    0    0     0   114 28965 116614  4  2 93  0  0
 3  0      0 249815600 165924 7612904    0    0     0    87 32148 127843  5  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 249656608 165940 7614848    0    0     0    91 30927 131651  5  2 93  0  0
 3  0      0 249519328 165952 7615004    0    0     0   107 33460 128212  5  2 93  0  0
 1  0      0 249514112 165968 7614644    0    0     0   145 29671 127381  4  2 93  0  0
 1  0      0 249409280 165984 7617976    0    0     0   108 31028 131524  5  3 93  0  0
 3  0      0 249495568 166000 7627476    0    0     0    91 26833 124088  4  2 93  0  0
 6  0      0 249461600 166064 7628604    0    0     0   118 29292 140975  5  2 93  0  0
 2  0      0 249067296 166148 7778380    0    0     0   117 29633 133148  5  2 93  0  0
 6  0      0 249173600 166176 7778192    0    0     0   119 31627 128053  5  2 93  0  0
 5  0      0 249378592 166192 7779008    0    0     0   185 33686 134106  5  2 93  0  0
 1  0      0 249484512 166208 7779864    0    0     0   109 29918 124838  5  3 93  0  0
 3  0      0 249353312 166216 7780052    0    0     0   124 30879 125594  5  2 93  0  0
 4  0      0 249375904 166232 7779536    0    0     0   120 26964 126290  5  2 93  0  0
 1  0      0 249303104 166244 7779868    0    0     0   105 30673 129053  5  2 93  0  0
 1  0      0 249261328 166256 7779740    0    0     0   122 29955 136863  5  2 93  0  0
 0  0      0 259563184 166308 2260484    0    0     0   187 21977 87628  3  5 92  0  0
 4  0      0 251162832 166488 6552172    0    0     0   237 26272 118083 23  5 72  0  0
 3  0      0 250510032 166508 6902696    0    0     0   112 31763 121605  4  3 93  0  0
 2  0      0 249761872 166524 7357596    0    0     0    66 29218 127731  4  3 93  0  0
 5  0      0 249750656 166540 7357820    0    0     0   108 29069 120074  4  2 93  0  0
 5  0      0 249660128 166556 7358096    0    0     0   105 27200 123697  5  2 93  0  0
 1  0      0 249650816 166572 7410564    0    0     0    86 29013 123355  4  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 249480352 166592 7413708    0    0     0   158 27060 122632  4  3 93  0  0
 4  0      0 249298944 166612 7413620    0    0     0   107 26743 120541  4  2 93  0  0
10  0      0 249309216 166628 7413804    0    0     0    90 26829 124519  4  2 93  0  0
 2  0      0 249317696 166688 7413832    0    0     0    93 29738 120386  4  2 93  0  0
 1  0      0 249237808 166764 7414228    0    0     0   124 29733 118016  4  2 93  0  0
 6  0      0 248860512 166804 7660140    0    0     0   121 30431 123902  5  2 93  0  0
 5  0      0 248987904 166820 7660252    0    0     0   182 32913 115301  5  2 93  0  0
 6  0      0 249060544 166836 7661740    0    0     0   114 28680 122808  5  2 93  0  0
 4  0      0 249033280 166848 7660828    0    0     0   135 28633 120234  4  2 93  0  0
 3  0      0 249033088 166864 7660816    0    0     0   110 27781 123354  4  2 93  0  0
 2  0      0 249040464 166876 7661492    0    0     0   128 30468 123040  4  2 93  0  0
 4  0      0 249003424 166884 7661444    0    0     0   111 28221 120674  4  2 93  0  0
 6  0      0 255696624 167100 2767004    0    0     0   198 17076 61605 21  5 73  0  0
 4  0      0 250029072 167120 7555012    0    0     0   218 28495 123351  5  3 92  0  0
 1  0      0 248903808 167140 8382584    0    0     0   104 26358 122724  5  3 92  0  0
 3  0      0 248410944 167156 8665296    0    0     0   102 26339 122747  5  2 93  0  0
 2  0      0 248480832 167172 8666696    0    0     0    54 27250 121227  5  2 93  0  0
 5  0      0 248327376 167188 8665864    0    0     0    77 28667 120622  5  2 93  0  0
 5  0      0 248320672 167204 8665820    0    0     0    90 27006 121002  5  2 93  0  0
 2  0      0 247860224 167220 8781724    0    0     0   144 29427 126241  5  2 93  0  0
 3  0      0 247850592 167232 8782404    0    0     0    99 28533 110189  4  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 247999456 167252 8781956    0    0     0    95 28897 130699  5  2 93  0  0
 3  0      0 247924336 167288 8783616    0    0     0   119 32607 128017  5  2 93  0  0
 3  0      0 247815136 167352 8782956    0    0     0   102 26564 123057  5  2 93  0  0
 4  0      0 247778944 167408 8783312    0    0     0   123 27191 129962  5  2 92  0  0
 5  0      0 247772000 167424 8783456    0    0     0   218 27255 121180  5  2 92  0  0
