2025-03-01 14:32:10 - +48.0°C
2025-03-01 14:32:11 - +49.0°C
2025-03-01 14:32:12 - +47.0°C
2025-03-01 14:32:13 - +48.0°C
2025-03-01 14:32:14 - +48.0°C
2025-03-01 14:32:15 - +48.0°C
2025-03-01 14:32:16 - +48.0°C
2025-03-01 14:32:17 - +47.0°C
2025-03-01 14:32:18 - +48.0°C
2025-03-01 14:32:19 - +47.0°C
2025-03-01 14:32:20 - +47.0°C
2025-03-01 14:32:21 - +47.0°C
2025-03-01 14:32:23 - +48.0°C
2025-03-01 14:32:24 - +47.0°C
2025-03-01 14:32:25 - +47.0°C
2025-03-01 14:32:26 - +47.0°C
2025-03-01 14:32:27 - +48.0°C
2025-03-01 14:32:28 - +46.0°C
2025-03-01 14:32:29 - +47.0°C
2025-03-01 14:32:30 - +47.0°C
2025-03-01 14:32:31 - +47.0°C
2025-03-01 14:32:32 - +48.0°C
2025-03-01 14:32:33 - +47.0°C
2025-03-01 14:32:34 - +47.0°C
2025-03-01 14:32:35 - +47.0°C
2025-03-01 14:32:36 - +47.0°C
2025-03-01 14:32:37 - +47.0°C
2025-03-01 14:32:38 - +47.0°C
2025-03-01 14:32:39 - +48.0°C
2025-03-01 14:32:40 - +47.0°C
2025-03-01 14:32:41 - +47.0°C
2025-03-01 14:32:42 - +47.0°C
2025-03-01 14:32:43 - +48.0°C
2025-03-01 14:32:44 - +47.0°C
2025-03-01 14:32:45 - +47.0°C
2025-03-01 14:32:46 - +48.0°C
2025-03-01 14:32:47 - +47.0°C
2025-03-01 14:32:48 - +46.0°C
2025-03-01 14:32:49 - +48.0°C
2025-03-01 14:32:50 - +47.0°C
2025-03-01 14:32:51 - +46.0°C
2025-03-01 14:32:53 - +47.0°C
2025-03-01 14:32:54 - +46.0°C
2025-03-01 14:32:55 - +46.0°C
2025-03-01 14:32:56 - +47.0°C
2025-03-01 14:32:57 - +48.0°C
2025-03-01 14:32:58 - +48.0°C
2025-03-01 14:32:59 - +48.0°C
2025-03-01 14:33:00 - +49.0°C
2025-03-01 14:33:01 - +48.0°C
2025-03-01 14:33:02 - +49.0°C
2025-03-01 14:33:03 - +48.0°C
2025-03-01 14:33:04 - +47.0°C
2025-03-01 14:33:05 - +48.0°C
2025-03-01 14:33:06 - +48.0°C
2025-03-01 14:33:07 - +47.0°C
2025-03-01 14:33:08 - +47.0°C
2025-03-01 14:33:09 - +48.0°C
